Athlète,Sexe,Pays,Discipline,Year,Position,Temps,Note
Danas Rapšys,Homme,Lituanie,200m nage,2022,7.0,1:41.74,
Katsuhiro Matsumoto,Homme,Japon,200m nage,2022,8.0,1:41.91,
Siobhán Haughey,Femme,Hong Kong,200m nage,2022,1.0,1:51.65,
Rebecca Smith,Femme,Canada,200m nage,2022,2.0,1:52.24,
Marrit Steenbergen,Femme,Pays-Bas,200m nage,2022,3.0,1:52.28,
Erin Gemmell,Femme,États-Unis,200m nage,2022,4.0,1:52.56,
Barbora Seemanová,Femme,République tchèque,200m nage,2022,5.0,1:52.66,
Leah Neale,Femme,Australie,200m nage,2022,6.0,1:52.84,
Taylor Ruck,Femme,Canada,200m nage,2022,7.0,1:52.88,
Madison Wilson,Femme,Australie,200m nage,2022,8.0,1:53.39,
Cameron McEvoy,Homme,Australie,50m nage,2024,1.0,21.06,
Jack Alexy,Homme,États-Unis,50m nage,2024,2.0,21.57,
Benjamin Proud,Homme,Royaume-Uni,50m nage,2024,3.0,21.58,
Isaac Cooper,Homme,Australie,50m nage,2024,4.0,21.70,
Ryan Held,Homme,États-Unis,50m nage,2024,5.0,21.72,
Jordan Crooks,Homme,Îles Caïmans,50m nage,2024,6.0,21.73,
Kristian Gkolomeev,Homme,Grèce,50m nage,2024,7.0,21.82,
Leonardo Deplano,Homme,Italie,50m nage,2024,8.0,21.92,
Sarah Sjöström,Femme,Suéde,50m nage,2024,1.0,23.62,
Shayna Jack,Femme,Australie,50m nage,2024,2.0,24.10,
Yufei Zhang,Femme,Chine,50m nage,2024,3.0,24.15,
Abbey Weitzeil,Femme,États-Unis,50m nage,2024,4.0,24.32,
Emma McKeon,Femme,Australie,50m nage,2024,5.0,24.35,
Yujie Cheng,Femme,Chine,50m nage,2024,6.0,24.45,
Michelle Coleman,Femme,Suéde,50m nage,2024,7.0,24.46,
Marrit Steenbergen,Femme,Pays-Bas,50m nage,2024,8.0,24.61,
Matthew Richards,Homme,Royaume-Uni,200m nage,2024,1.0,1:44.30,
Tom Dean,Homme,Royaume-Uni,200m nage,2024,2.0,1:44.32,
Sun-Woo Hwang,Homme,Corée,200m nage,2024,3.0,1:44.42,
David Popovici,Homme,Roumanie,200m nage,2024,4.0,1:44.90,
Luke Hobson,Homme,États-Unis,200m nage,2024,5.0,1:45.09,
Ho-Joon Lee,Homme,Corée,200m nage,2024,6.0,1:46.04,
Kieran Smith,Homme,États-Unis,200m nage,2024,7.0,1:46.10,
Felix Auböck,Homme,Autriche,200m nage,2024,8.0,1:46.40,
Mollie O'Callaghan,Femme,Australie,200m nage,2024,1.0,1:52.85,
Ariarne Titmus,Femme,Australie,200m nage,2024,2.0,1:53.01,
Summer McIntosh,Femme,Canada,200m nage,2024,3.0,1:53.65,
Siobhán Haughey,Femme,Hong Kong,200m nage,2024,4.0,1:53.96,
Marrit Steenbergen,Femme,Pays-Bas,200m nage,2024,5.0,1:55.51,
Bella Sims,Femme,États-Unis,200m nage,2024,6.0,1:56.00,
Freya Anderson,Femme,Royaume-Uni,200m nage,2024,7.0,1:56.33,
Yaxin Liu,Femme,Chine,200m nage,2024,8.0,1:56.97,
